index,split
5463,train
99197,train
80442,train
43931,train
45160,train
214117,train
140543,train
21719,train
53763,train
65918,train
166137,train
127165,train
170062,train
205569,train
102255,train
207454,train
196604,train
64380,train
157042,train
165796,train
88690,train
101330,train
161884,train
203277,train
89432,train
70632,train
82057,train
127577,train
166685,train
151347,train
190321,train
170761,train
75919,train
223273,train
204072,train
203111,train
190541,train
202423,train
125298,train
19878,train
71320,train
215185,train
57380,train
208638,train
210163,train
197071,train
6607,train
182519,train
6194,train
67906,train
181819,train
222197,train
57312,train
161438,train
142227,train
29682,train
202763,train
54993,train
132822,train
105444,train
162020,train
113166,train
134930,train
49532,train
71332,train
61560,train
196493,train
42521,train
217847,train
105817,train
15942,train
192855,train
207446,train
134360,train
206080,train
219698,train
42790,train
50060,train
59821,train
119569,train
84876,train
187356,train
199125,train
211533,train
220348,train
198623,train
13736,train
29689,train
169644,train
116301,train
206166,train
213131,train
180130,train
162643,train
49038,train
118060,train
210963,train
42651,train
105342,train
109316,train
216208,train
200648,train
29259,train
118903,train
206380,train
180745,train
15332,train
220124,train
75220,train
155280,train
30524,train
175349,train
108531,train
159940,train
207876,train
128731,train
193860,train
106673,train
201213,train
4416,train
108624,train
200282,train
211103,train
216316,train
4880,train
4726,train
31914,train
92793,train
35249,train
169410,train
60969,train
129162,train
171741,train
133614,train
206914,train
120202,train
172628,train
7734,train
201396,train
151653,train
117534,train
24921,train
195418,train
10280,train
195456,train
94243,train
221459,train
161544,train
207143,train
51945,train
132523,train
137845,train
135596,train
157526,train
81702,train
7234,train
68144,train
71023,train
93935,train
211623,train
208688,train
152541,train
222843,train
194339,train
1460,train
210207,train
162856,train
202642,train
9081,train
176381,train
88848,train
47922,train
82420,train
210714,train
152923,train
222231,train
204134,train
132443,train
190758,train
106435,train
169256,train
160939,train
74042,train
112716,train
5939,train
195737,train
60426,train
213742,train
13455,train
79022,train
216298,train
41290,train
214828,train
28180,train
49396,train
211071,train
179148,train
178780,train
116515,train
181895,train
184845,train
53942,train
213181,train
175666,train
123361,train
26129,train
165823,train
47940,train
209477,train
9412,train
200917,train
211514,train
213004,train
213393,train
139988,train
48208,train
176330,train
49214,train
59217,train
213881,train
109135,train
58,train
220116,train
182207,train
222576,train
140900,train
91156,train
204444,train
31912,train
206219,train
132667,train
205397,train
39146,train
175911,train
185546,train
205693,train
185887,train
89170,train
48256,train
168994,train
152210,train
111089,train
220926,train
140580,train
138436,train
107025,train
39714,train
120746,train
189961,train
92547,train
192691,train
190172,train
79294,train
122890,train
221819,train
214549,train
205769,train
159450,train
190540,train
24418,train
210164,train
58152,train
126508,train
39631,train
18797,train
24269,train
123466,train
40241,train
102528,train
58281,train
144487,train
26843,train
10278,train
129083,train
112080,train
117113,train
160059,train
89104,train
107280,train
175976,train
135595,train
152485,train
14135,train
188567,train
93668,train
151654,train
222714,train
137352,train
211506,train
51692,train
113625,train
24691,train
212545,train
121665,train
214594,train
197014,train
43860,train
211236,train
216369,train
97433,train
121282,train
120504,train
133492,train
95204,train
131863,train
2342,train
195722,train
212688,train
170630,train
143256,train
93388,train
210014,train
34013,train
209835,train
58800,train
192806,train
78060,train
195180,train
222690,train
14641,train
31823,train
207109,train
187848,train
116407,train
176230,train
207969,train
95935,train
9557,train
39126,train
6089,train
95692,train
182033,train
132640,train
107998,train
216998,train
76589,train
90886,train
206232,train
108194,train
23836,train
61445,train
178211,train
163411,train
153443,train
217357,train
196794,train
129159,train
9009,train
182580,train
150260,train
107482,train
215600,train
8396,train
7300,train
221003,train
58206,train
201670,train
195879,train
172873,train
36664,train
173981,train
198811,train
189647,train
221773,train
86342,train
56149,train
205146,train
196598,train
114196,train
168329,train
168209,train
43654,train
215392,train
117506,train
72100,train
99105,train
158124,train
92254,train
206890,train
213910,train
93864,train
91946,train
181759,train
63960,train
170631,train
175069,train
220080,train
3654,train
131667,train
199451,train
149996,train
47722,train
203247,train
216217,train
202467,train
162175,train
180090,train
19643,train
11366,train
28783,train
159987,train
83531,train
146852,train
166369,train
62152,train
69904,train
212149,train
176804,train
3521,train
4071,train
177922,train
219604,train
184679,train
174996,train
210643,train
75103,train
190170,train
27177,train
84667,train
184676,train
218160,train
94390,train
